Question,Answer
"What should I prepare for my first visit?","You must provide a valid introductory referral before your first appointment. GP referrals are valid for 12 months, while specialist referrals last 3 months. We also recommend completing any tests suggested by your referring doctor as soon as possible so we have the results ready."
"Does the clinic offer bulk billing?","No, we are a private specialist clinic and do not bulk bill. Discounts for pension or disability card holders are generally not available unless discussed and approved by your specialist prior to the appointment."
"Can I use my private health insurance for consultations?","Private health insurance typically does not cover outpatient consultations. It is generally reserved for inpatient services, diabetes nurse education, or dietitian consultations. We can provide a receipt if you wish to check with your insurance provider."
"Are telehealth consultations available?","Yes, telehealth is well-suited for Endocrinology. Currently, video (not phone) is required to qualify for a Medicare rebate, though regulations may change after November 1st, 2025. Please ensure you are in a quiet, private space and not driving during the call."
"Do you treat pediatric patients?","Our specialists primarily care for adults. Adolescents may be accepted on a case-by-case basis; please call our rooms to discuss specific requirements."
"How long is the typical wait time for an appointment?","The wait time is usually a few weeks to a few months. However, we maintain a waitlist and frequently move patients forward if an earlier time slot becomes available."
"What is the cancellation policy?","Appointments cancelled with less than 48 hours’ notice, or missed appointments, may incur a cancellation fee of $150."
"Are there fees for requests made outside of appointments?","Yes, requests made outside of a formal consultation may incur fees: $75 for prescriptions and $100 for forms, reports, or letters."
"How do I handle payments?","Prepayment is required for all consultations. Please note that our suites at Epworth Hawthorn, Epworth Camberwell, Holmsglen Moorabbin, and Balwyn North are for consultations only and cannot process payments. All payments are handled via our central phone line."
"How can I request an urgent appointment?","For urgent matters, please ensure the referral is marked 'Urgent' and/or have your doctor call our rooms directly at 1300 225 387. We prioritise urgent requests and work closely with our colleagues."
"Does the clinic use AI for medical records?","We may use secure, de-identified AI tools to assist in preparing clinical documentation. If you have any concerns regarding this, please let us know."
"How early should I arrive for my appointment?","Please arrive at the clinic or log in to your telehealth portal 10 minutes early to complete the check-in process."
"Who is Dr. Kati L. Matthiesson?","Dr. Kati L. Matthiesson is a highly experienced Consultant Endocrinologist with over 30 years of experience. She is the Director of Baldur Health and holds current appointments at Bendigo Health."
"What are Dr. Matthiesson's medical qualifications?","She holds MBBS, ABIM (USA), FRACP, and PhD qualifications. She earned her PhD from Monash University and has extensive experience practicing in both Australia and the United States."
"What are her areas of clinical expertise?","Dr. Matthiesson specializes in diabetes, weight management, osteoporosis, reproductive endocrinology, and hormonal health. She has a particular specialist focus on complex endocrine conditions."
"Has she been involved in medical research?","Yes, she has contributed to major national and international research initiatives in male reproductive health, hormonal contraception, and metabolic disorders. She has also held academic roles at Monash University and Prince Henry’s Institute."
"What is her approach to patient care?","Her practice is grounded in evidence-based care and collaborative multidisciplinary approaches. She is committed to improving patient outcomes through medical innovation and integrated healthcare."
"What hospitals has she been affiliated with?","She currently holds an appointment at Bendigo Health. Her previous appointments include Monash Health and Northern Health."
"Who is Associate Professor Niloufar (Nellie) Torkamani?","Associate Professor Niloufar Torkamani, also known as Nellie, is a Consultant Endocrinologist and the Head of the Medical Weight Control Clinic at Austin Health. She is an Associate Professor at the University of Melbourne."
"What are her medical qualifications and training?","She holds MBBS, FRACP, and PhD qualifications. She completed her advanced training in Endocrinology and General Medicine at Royal Melbourne Hospital and Austin Health, and earned her PhD from the University of Melbourne in 2016."
"What is her specific research expertise?","She is a leading researcher in hormonal hair loss (androgenetic alopecia) and metabolic health. Her work on hair follicle mechanisms has been published in high-impact journals like 'Diabetes Care' and the 'British Journal of Dermatology'."
"What clinical conditions does she specialize in?","Her expertise covers women’s health (PCOS, andrology), weight loss strategies, diabetes management, thyroid, pituitary, and adrenal disorders, as well as osteoporosis and metabolic bone disease."
"Does she speak any languages other than English?","Yes, she is fluent in Persian (Farsi) and is highly skilled in providing culturally sensitive care to diverse patient communities."
"What is her role in medical education?","She is an Associate Professor at the University of Melbourne's Department of Medicine, where she supervises and mentors PhD candidates, physician trainees, and medical students."
